# you get 2 lines to write a comment about this file. exactly 2.
# second line of comment
num classes=41
feature dim=100
partition=k-fold, 2
---
0,Brown Creeper
1,Pacific Wren
2,Pacific-slope Flycatcher
3,Red-breasted Nuthatch
4,Dark-eyed Junco
5,Olive-sided Flycatcher
6,Hermit Thrush
7,Chestnut-backed Chickadee
8,Varied Thrush
9,Hermit Warbler
10,Swainson's Thrush
11,Hammond's Flycatcher
12,Western Tanager
13,Black-headed Grosbeak
14,Golden Crowned Kinglet
15,Warbling Vireo
16,Yellow-rumped Warbler
17,MacGillivray's Warbler
18,Stellar's Jay
19,Frog species
20,Common Nighthawk
21,Wind
22,Stream Noise
23,Airplane
24,Rain
25,Creature Walking
26,Unidentified Bird
27,Gray Jay
28,Pileated Woodpecker
29,Band-tailed Pigeon
30,Red-breasted Sapsucker
31,Osprey
32,Douglas Squirrel
33,Evening Groskbeak
34,Northern Pygmy-Owl
35,Black-throated Gray Warbler
36,American Robin
37,Sooty Grouse
38,Person Talking
39,Chipmunk
40,Empty Segment
***
index;partition;labelset;featurevector
124;0;9,23;0.066667,0.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.033333,0.033333,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.033333,0.000000,0.033333,0.000000,0.000000,0.000000,0.033333,0.000000,0.033333,0.033333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.033333,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.033333,0.033333
125;0;8,11,23;0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.018519,0.000000,0.018519,0.000000,0.037037,0.000000,0.000000,0.018519,0.037037,0.000000,0.018519,0.000000,0.000000,0.037037,0.018519,0.000000,0.000000,0.018519,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018519,0.000000,0.037037,0.000000,0.000000,0.000000,0.018519,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018519,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.018519,0.000000,0.018519,0.000000,0.000000,0.037037,0.018519,0.018519,0.000000,0.000000,0.037037,0.018519,0.000000,0.000000,0.000000,0.037037,0.037037,0.018519,0.000000,0.037037,0.074074,0.018519,0.018519,0.018519,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000
126;0;3,9;0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.058824,0.088235,0.000000,0.000000,0.029412,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.029412,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.029412,0.058824,0.000000,0.000000,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
127;0;3;0.000000,0.000000,0.030303,0.000000,0.000000,0.030303,0.030303,0.030303,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.030303,0.000000,0.000000,0.030303,0.030303,0.000000,0.060606,0.060606,0.000000,0.030303,0.000000,0.000000,0.060606,0.000000,0.000000,0.030303,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.030303,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,0.000000,0.000000,0.060606,0.030303,0.000000,0.060606,0.000000,0.000000
128;0;;0.029412,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.029412,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176471,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.029412,0.000000,0.000000
129;0;;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.062500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130;0;;0.021277,0.000000,0.042553,0.000000,0.021277,0.000000,0.000000,0.042553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.042553,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.042553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042553,0.000000,0.021277,0.000000,0.000000,0.021277,0.000000,0.000000,0.021277,0.000000,0.021277,0.000000,0.021277,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.063830,0.000000,0.021277,0.000000,0.042553,0.021277,0.042553,0.021277,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.021277,0.042553,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.021277,0.021277,0.021277,0.000000,0.063830,0.021277
131;0;10;0.027027,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.027027,0.027027,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054054,0.000000,0.027027,0.000000,0.027027,0.000000,0.000000,0.027027,0.027027,0.000000,0.000000,0.027027,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054054,0.000000,0.000000,0.000000,0.000000,0.000000,0.081081,0.000000,0.000000,0.027027,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.027027,0.000000,0.081081,0.054054,0.000000,0.027027,0.000000,0.027027,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027
132;0;7,25;0.000000,0.000000,0.047619,0.000000,0.000000,0.031746,0.000000,0.015873,0.031746,0.000000,0.000000,0.000000,0.015873,0.095238,0.000000,0.000000,0.015873,0.000000,0.000000,0.031746,0.000000,0.000000,0.031746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.047619,0.000000,0.000000,0.047619,0.015873,0.015873,0.031746,0.000000,0.000000,0.031746,0.000000,0.031746,0.000000,0.015873,0.015873,0.015873,0.000000,0.000000,0.015873,0.000000,0.031746,0.000000,0.000000,0.000000,0.000000,0.079365,0.015873,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031746,0.000000,0.000000,0.000000,0.000000,0.031746,0.000000,0.015873,0.031746,0.000000,0.000000,0.015873,0.000000,0.031746,0.015873,0.000000,0.015873,0.000000,0.031746
133;0;25;0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.150000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.100000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
134;0;6,7,11;0.000000,0.000000,0.025000,0.025000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.025000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.025000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.050000,0.025000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.100000,0.025000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.050000
135;0;;0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.037736,0.000000,0.037736,0.018868,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.056604,0.018868,0.000000,0.037736,0.018868,0.018868,0.037736,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.037736,0.037736,0.000000,0.018868,0.000000,0.037736,0.018868,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.018868,0.000000,0.018868,0.000000,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.037736,0.000000,0.000000,0.037736,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000
136;0;;0.068966,0.000000,0.034483,0.000000,0.000000,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.068966,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103448,0.000000,0.034483,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.034483,0.034483,0.034483,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.034483,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000
137;0;27;0.000000,0.043478,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086957,0.000000,0.130435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.086957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.086957,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.043478,0.043478,0.000000,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.043478,0.000000
138;0;;0.000000,0.000000,0.000000,0.000000,0.080000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.080000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.060000,0.000000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.020000,0.000000,0.000000,0.020000,0.020000,0.060000,0.000000,0.000000,0.020000,0.000000,0.020000,0.020000,0.000000,0.020000,0.000000,0.000000,0.040000,0.000000,0.020000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.020000,0.000000,0.020000,0.000000,0.020000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000
139;0;;0.060000,0.000000,0.020000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,0.060000,0.000000,0.000000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.040000,0.040000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.020000,0.000000,0.000000,0.020000,0.040000,0.040000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.040000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000
140;0;10;0.000000,0.020408,0.020408,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.020408,0.040816,0.000000,0.020408,0.020408,0.000000,0.000000,0.020408,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.020408,0.061224,0.020408,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061224,0.040816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.040816,0.000000,0.020408,0.020408,0.040816,0.020408,0.000000,0.000000,0.000000,0.000000,0.040816,0.020408,0.000000,0.000000,0.000000,0.040816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.020408,0.020408,0.020408,0.000000,0.020408,0.000000,0.040816,0.020408,0.000000,0.020408,0.000000,0.040816
141;0;13,25;0.000000,0.016949,0.000000,0.033898,0.000000,0.000000,0.033898,0.033898,0.000000,0.000000,0.000000,0.016949,0.000000,0.000000,0.000000,0.016949,0.050847,0.016949,0.033898,0.000000,0.000000,0.000000,0.016949,0.033898,0.016949,0.033898,0.016949,0.000000,0.000000,0.016949,0.000000,0.000000,0.000000,0.016949,0.000000,0.000000,0.033898,0.033898,0.016949,0.000000,0.000000,0.016949,0.033898,0.033898,0.016949,0.000000,0.033898,0.000000,0.033898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016949,0.016949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016949,0.016949,0.016949,0.000000,0.000000,0.016949,0.000000,0.016949,0.000000,0.000000,0.000000,0.016949,0.000000,0.000000,0.033898,0.033898,0.000000,0.000000,0.016949,0.000000,0.033898,0.000000,0.016949,0.033898,0.000000,0.000000,0.000000,0.016949,0.000000,0.000000,0.000000,0.000000,0.016949
142;0;6,7,11;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.041667,0.041667,0.000000,0.000000,0.083333,0.041667,0.000000,0.041667,0.041667,0.041667,0.041667,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.041667,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.041667,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667
143;0;;0.000000,0.000000,0.015873,0.015873,0.015873,0.015873,0.015873,0.031746,0.015873,0.031746,0.000000,0.000000,0.015873,0.000000,0.000000,0.015873,0.015873,0.000000,0.015873,0.000000,0.000000,0.031746,0.015873,0.047619,0.015873,0.000000,0.015873,0.000000,0.000000,0.047619,0.000000,0.015873,0.000000,0.031746,0.000000,0.015873,0.000000,0.000000,0.031746,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,0.015873,0.000000,0.015873,0.015873,0.015873,0.000000,0.000000,0.000000,0.000000,0.015873,0.015873,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.031746,0.031746,0.000000,0.000000,0.015873,0.000000,0.015873,0.000000,0.000000,0.015873,0.000000,0.031746,0.015873,0.000000,0.000000,0.015873,0.031746,0.015873,0.000000,0.015873,0.015873,0.000000,0.015873,0.000000,0.000000,0.000000,0.015873,0.031746,0.000000,0.000000,0.000000,0.015873,0.031746,0.000000,0.000000,0.000000,0.015873
144;0;;0.000000,0.000000,0.026316,0.078947,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.026316,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.026316,0.000000,0.000000,0.000000,0.026316,0.026316,0.026316,0.026316,0.026316,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.026316,0.026316,0.000000,0.026316,0.000000,0.000000,0.026316,0.026316,0.000000,0.026316,0.026316,0.026316,0.000000,0.000000,0.000000,0.000000,0.026316,0.026316,0.000000,0.052632,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.026316,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145;0;;0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.054545,0.000000,0.036364,0.000000,0.000000,0.000000,0.018182,0.000000,0.018182,0.000000,0.000000,0.000000,0.018182,0.036364,0.018182,0.018182,0.000000,0.000000,0.000000,0.018182,0.036364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.054545,0.000000,0.018182,0.036364,0.018182,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.018182,0.018182,0.018182,0.036364,0.054545,0.018182,0.036364,0.018182,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.036364,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.036364,0.072727,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.036364,0.000000,0.000000
146;0;9,11,15;0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.076923,0.038462,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.038462,0.000000,0.038462,0.076923,0.000000
147;0;10;0.000000,0.048780,0.000000,0.024390,0.000000,0.000000,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.024390,0.024390,0.024390,0.000000,0.073171,0.000000,0.000000,0.000000,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.000000,0.024390,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048780,0.000000,0.000000,0.048780,0.024390,0.048780,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.024390,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.048780,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.024390,0.097561,0.024390,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.073171,0.000000
148;0;;0.023256,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.069767,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.093023,0.000000,0.000000,0.023256,0.000000,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046512,0.000000,0.023256,0.000000,0.023256,0.023256,0.023256,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.023256,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.046512,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046512,0.023256,0.000000,0.023256,0.046512,0.000000,0.000000,0.023256,0.069767,0.000000
149;0;;0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.294118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000
